nombre;descripcion
Colmillo perforasombra;Material muy raro de Vaal Hazak Espóreo, obtenido al romperle el cráneo. Útil para crear armas.
Garra de Vaal Hazak;Raro material de Vaal Hazak, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Garra dura de Vaal Hazak;Material muy raro de Vaal Hazak Espóreo, obtenido al romperle las patas. Útil para armas.
Ala de Vaal Hazak;Raro material de Vaal Hazak, obtenido al romperle el torso. Ligero pero firme, útil para equipo.
Aladura de Vaal Hazak;Material de Vaal Hazak Espóreo, obtenido al romperle el torso. Útil para crear equipo.
Gema de Vaal Hazak;Una rara gema formada entre los tejidos de un Vaal Hazak. Se usa para grandes mejoras de equipo.
Piel fina de Namielle;Material de Namielle muy raro, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Aladura de Namielle;Material de Namielle muy raro, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Bigote de Namielle;Material de Namielle muy raro, obtenido al romperle el cráneo. Añade propiedades de rayo.
Látigo de Namielle;Material de Namielle muy raro, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Garra dura de Namielle;Material de Namielle raro, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Escama de alma de Xeno'jiiva;Raro material de Xeno'jiiva. Su escama quemada aún irradia vestigios del más allá.
Caparazón de Xeno'jiiva;Una rara pieza del caparazón de Xeno'jiiva, templado para navegar las llamas del inframundo.
Velo de Xeno'jiiva;Un raro órgano de Xeno'jiiva que almacena energía para luego lanzarla en una violenta ráfaga.
Cola de Xeno'jiiva;La fuerte cola de Xeno'jiiva, capaz de barrer a todos los enemigos de una pasada.
Cuerno de Xeno'jiiva;Un raro cuerno de Xeno'jiiva. Se cree que le ayuda a controlar su poder de bestia mientras crece.
Garra de Xeno'jiiva;Una garra de Xeno'jiiva poco común. Se dice que puede separar el alma del cuerpo.
Ala de Xeno'jiiva;Una rara ala de Xeno'jiiva. La membrana brilla con la divina luz de un poderoso dios.
Gema de Xeno'jiiva;Una gema fantasmal formada dentro de tejido de Xeno'jiiva. El poder en su interior escapa a toda comprensión.
Esquirla de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido sobre todo cortándolo tras abatirlo. Tiene patrones aparecidos al madurarla.
Córtex de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido sobre todo como recompensa. Tiene capas complejas aparecidas al madurarlo.
Dracocaparazón pulsante;Material muy raro de Safi'jiiva. El tiempo eterno, y su intrínseco poder, han hecho que de él brote la luz.
Látigo de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido cortando su cola cercenada. Una sacudida suya provoca ciclones.
Asta de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido rompiéndole los cuernos. Su crecimiento excesivo la curvó.
Garra dura de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido rompiéndole las patas. Tócala y sentirás la tierra que pisó.
Aladura de Safi'jiiva;Material muy raro de Safi'jiiva, obtenido rompiéndole las alas. Tócala y sentirás el poder agobiante del emperador.
Cristal de Zionio;Material muy raro de Safi'jiiva. La temible energía del emperador heredero yace en su núcleo.
Escama dorada de Kulve Taroth;Raro material de Kulve Taroth, obtenido a menudo como recompensa. Muchos han caído intentando obtener una.
Escama dorada de Kulve Taroth+;Material muy raro de Kulve Taroth, obtenido sobre todo como recompensa. Muchos han caído intentando lograr una.
Caparazón dorado Kulve Taroth;Raro material de Kulve Taroth, obtenido a menudo como recompensa. Su valor está acorde con su brillo dorado.
Caparazón dorado Kulve Taroth+;Material muy raro de Kulve Taroth, obtenido sobre todo como recompensa. Su valor reside en su brillo dorado.
Garra dorada de Kulve Taroth;Raro material de Kulve Taroth, obtenido al romper sus patas delanteras. Alumbra misteriosamente a quienes la miran.
Garra dorada de Kulve Taroth+;Material muy raro de Kulve Taroth, obtenido del monstruo. Emite una luz exótica para todo aquel que lo vea.
Espiracorno dorado Kulve Taroth;Raro material de Kulve Taroth, obtenido al romperle el cráneo. Brilla con orgullo a pesar de su antigüedad.
Espiracorno dorado Kulve Taroth+;Material muy raro de Kulve Taroth, obtenido al romperle el cráneo. Brilla a pesar de su peso y su antigüedad.
Caparazón de cola Kulve Taroth;Raro material de Kulve Taroth, obtenido al romperle la cola. De color dorado, brillante y lustroso.
Caparazón de cola Kulve Taroth+;Material muy raro de Kulve Taroth, obtenido al romperle la cola. Brilla con un centelleo dorado.
Gema vela dorada Kulve Taroth;Extraña joya formada entre los tejidos del Kulve Taroth. Se usa para mejoras de equipo extraordinarias.
Dracoespira dorada;Material muy raro de Kulve Taroth, Se dice que esta gema deja el oro manchado, si la consigues.
Asombrosa pepita Kulve Taroth;Una pepita de oro blanco de Kulve Taroth. ¡Llévala a la forja y crea con ella equipo nuevo!
Escama blanda Shara Ishvalda;Material de Shara Ishvalda muy raro obtenido sobre todo cortándolo. Muy útil por su gran versatilidad.
Armadura roca Shara Ishvalda;Material de Shara Ishvalda muy raro obtenido a menudo como recompensa. Sólido, útil para crear equipo.
Armadura blanda Shara Ishvalda;Material de Shara Ishvalda muy raro obtenido rompiéndole la cabeza. Útil para crear armas diversas.
Petalfósil de Shara Ishvalda;Material de Shara Ishvalda muy raro obtenido al desprenderse del monstruo. Útil para crear equipo.
Garra blanda de Shara Ishvalda;Material de Shara Ishvalda muy raro obtenido al romperle las alas. Útil para crear armas.
Gema de Shara Ishvalda;Material de Shara Ishvalda raro. Con él se crean armas tan poderosas como para conquistar el mundo.
Palio de Alatreon;Material muy raro de Alatreon, recibido sobre todo como recompensa. El portador recibe el amor de los cielos.
Manto de Alatreon;Material muy raro de Alatreon, obtenido sobre todo cortando al monstruo. Se dice que contiene todos los elementos.
Garfio de Alatreon;Material muy raro de Alatreon. Emite una maldad que hace obsesionarte con pensamientos malignos.
Ala salvaje de Alatreon;Material muy raro de Alatreon. Se rumorea que puede cortar a través del mundo, el espacio y el tiempo.
Cola salvaje de Alatreon;Material muy raro de Alatreon, obtenido al cortar su cola cercenada. ¿Es esto real, o es solo un sueño?
Timón de viento;Material muy raro de Alatreon. Estas cuernos retorcidos son los mejores que han existido jamás.
Dracoespira celeste;Material muy raro de Alatreon. Obtener esta gema brillante es una señal del fin del mundo.
Crin de Bégimo;Raro material de Bégimo. Su poder mágico le permite invocar meteoros de los cielos.
Hueso de Bégimo;Raro material de Bégimo. Un hueso de tal solidez que puede noquear a héroes de leyenda.
Gran cuerno de Bégimo;Raro material de Bégimo. La luz que emite este cuerno sacude incluso a un buen aventurero.
Garra guadaña de Bégimo;Raro material de Bégimo. Garras capaces de cortar a sus víctimas en dos de un solo golpe.
Cola de Bégimo;Raro material de Bégimo. Una cola gruesa y musculada que barre a cualquier amenaza.
Fragmento de eterita;Raro material de Bégimo.
Garra de leshen;Una rara y afilada garra de leshen. De un solo golpe puede infligir un corte muy profundo.
Garra de leshen antiguo;Material raro. Garra de un leshen antiguo, venerado como un dios en otro mundo.
Cráneo de leshen;Prueba de que has cazado a un leshen. En otro mundo, se exhiben colgados de la silla del caballo.
Cráneo de leshen antiguo;Raro material de un leshen antiguo. Imbuido de magia, es el recipiente de una oscuridad inimaginable.
Hueso maldito;Material raro. Hueso de una criatura que sucumbió a la cruel astucia de un leshen.
Hueso maldito de antiguo;Raro material de un leshen antiguo. Un hueso enmarañado en un montón de ramas mágicas.
Cuernos de leshen;Material raro. Los terroríficos cuernos de un leshen, nutridos por el poder innato de los bosques primitivos.
Cuernos de leshen antiguo;Raro material de un leshen antiguo. Unos solemnes cuernos de gran tamaño, que atemorizan a otras criaturas.
Resina de leshen;Cúmulo resinoso excretado por un leshen. Compuesto por arcanas sustancias que deben manejarse con sumo cuidado.
Mutágeno;Sustancia para potenciar la habilidad de un brujo. Cámbialo en el centro de recursos por algo interesante.
Trozo de draconita;Rara gema de un monstruo curtido. Cuanto mayor es el reinado de terror de un monstruo, mayor es el fragmento.
Draconita;Rara gema de un monstruo curtido. Un cristal de poder puro, nacido de la sed insaciable de una bestia.
Draconita reluciente;Rara gema de un monstruo curtido. Prueba de que la bestia reinó toda una era como un tirano sin rivales.
Draconita guerrero (espada);Un material usado desde siempre para revelar el poder oculto de espadas largas y grandes espadas.
Draconita guerrero (filo);Un material usado desde siempre para revelar el poder oculto de espadas y escudos y espadas dobles.
Draconita guerrero (martillo);Un material usado desde siempre para revelar el poder oculto de martillos y cornamusas.
Draconita guerrero (lanza);Un material usado desde siempre para revelar el poder oculto de lanzas y lanzas pistola.
Draconita guerrero (hacha);Un material usado desde siempre para revelar el poder oculto de hachas espada y hachas cargadas.
Draconita guerrero (asta);Un material usado desde siempre para revelar el poder oculto de glaives insecto y arcos.
Draconita guerrero (proyectil);Un material usado desde siempre para revelar el poder oculto de ballestas ligeras y pesadas.
Draconita héroe (espada);Un material usado por leyendas para revelar el poder oculto de espadas largas y grandes espadas.
Draconita héroe (filo);Un material usado por leyendas para revelar el poder oculto de espadas y escudos y espadas dobles.
Draconita héroe (martillo);Un material usado por leyendas para revelar el poder oculto de martillos y cornamusas.
Draconita héroe (lanza);Un material usado por leyendas para revelar el poder oculto de lanzas y lanzas pistola.
Draconita héroe (hacha);Un material usado por leyendas para revelar el poder oculto de hachas espada y hachas cargadas.
Draconita héroe (asta);Un material usado por leyendas para revelar el poder oculto de glaives insecto y arcos.
Draconita héroe (proyectil);Un material usado por leyendas para revelar el poder oculto de ballestas ligeras y pesadas.
Cristal degradado;Mineral obtenido en el bioma boscoso de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal boscoso;Mineral obtenido en el bioma boscoso de las Tierras Destino. La gran energía oculta creó cristales mayores.
Cristal próspero;Mineral obtenido en el bioma boscoso de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino boscoso;Mineral obtenido en el bioma boscoso de las Tierras Destino. Un cristal grande de milagrosa energía terrestre.
Cristal agrietado;Mineral obtenido en el bioma desértico de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal desértico;Mineral obtenido en el bioma desértico de las Tierras Destino. Gran energía oculta creó cristales mayores.
Cristal sereno;Mineral obtenido en el bioma desértico de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino desértico;Mineral obtenido en el bioma desértico las Tierras Destino. Cristal enorme de milagrosa energía terrestre.
Cristal pálido;Mineral obtenido en el bioma coralino de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal arrecife coral;Mineral obtenido en el bioma coralino de las Tierras Destino. Gran energía oculta creó cristales mayores.
Cristal abisal;Mineral obtenido en el bioma coralino de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino coralino;Mineral obtenido en el bioma coralino de las Tierras Destino. Cristal grande de milagrosa energía terrestre.
Cristal distorsionado;Mineral obtenido en el bioma pútrido de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal pútrido;Mineral obtenido en el bioma pútrido de las Tierras Destino. Gran energía oculta creó cristales mayores.
Cristal de puesta de sol;Mineral obtenido en el bioma pútrido de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino pútrido;Mineral obtenido en el bioma pútrido de las Tierras Destino. Cristal grande de milagrosa energía terrestre.
Cristal fundido;Mineral obtenido en el bioma volcánico de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal volcánico;Mineral obtenido en el bioma volcánico de las Tierras Destino. Gran energía oculta creó cristales mayores.
Cristal ardiente;Mineral obtenido en el bioma volcánico de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino volcánico;Mineral obtenido en el bioma volcánico de las Tierras Destino. Cristal grande de milagrosa energía subterránea.
Cristal helado;Mineral obtenido en el bioma ártico de las Tierras Destino. La energía subterránea lo cristalizó.
Cristal ártico;Mineral obtenido en el bioma ártico de las Tierras Destino. Gran energía oculta creó cristales mayores.
Cristal del amanecer;Mineral obtenido en el bioma ártico de las Tierras Destino. La energía que alberga es evidente.
Cristal Destino ártico;Mineral obtenido en el bioma ártico de las Tierras Destino. Cristal grande de milagrosa energía terrestre.
Gran hueso musgoso;Hueso obtenido en el bioma boscoso de las Tierras Destino. La energía subterránea alteró sus propiedades.
Gran hueso forestal;Hueso obtenido en el bioma boscoso de las Tierras Destino. Erosionado, su peso avala su poder.
Gran hueso dormido;Hueso obtenido en el bioma boscoso de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino forestal;Hueso obtenido en el bioma boscoso de las Tierras Destino. Vestigios de señor, atraído por fuerzas ignotas.
Litohueso erosionado;Hueso obtenido en el bioma desértico de las Tierras Destino. La energía subterránea alteró sus propiedades.
Litohueso del páramo;Hueso obtenido en el bioma desértico de las Tierras Destino. Erosionado, su peso avala su poder.
Litohueso curtido;Hueso obtenido en el bioma desértico de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino desértico;Hueso obtenido en el bioma desértico de las Tierras Destino. Vestigios de señor, atraído por fuerzas ignotas.
Hueso carmesí vívido;Hueso obtenido en el bioma coralino de las Tierras Destino. La energía subterránea alteró sus propiedades.
Hueso carmesí de coral;Hueso obtenido en el bioma coralino de las Tierras Destino. Erosionado, su peso avala su poder.
Hueso carmesí vibrante;Hueso obtenido en el bioma coralino de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino coralino;Hueso obtenido en el bioma coralino de las Tierras Destino. Vestigios de señor, atraído por fuerzas ignotas.
Deliriohueso deformado;Hueso obtenido en el bioma pútrido de las Tierras Destino. La energía subterránea alteró sus propiedades.
Deliriohueso de efluvio;Hueso obtenido en el bioma pútrido de las Tierras Destino. Erosionado, su peso avala su poder.
Deliriohueso afectado;Hueso obtenido en el bioma pútrido de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino pútrido;Hueso obtenido en el bioma pútrido de las Tierras Destino. Vestigios de señor, atraído por fuerzas ignotas.
Hueso salvaje efervescente;Hueso obtenido en el bioma volcánico de las Tierras Destino. La energía subterránea alteró sus propiedades.
Hueso salvaje volcánico;Hueso obtenido en el bioma volcánico de las Tierras Destino. Erosionado, su peso avala su poder.
Hueso salvaje dracocombusto;Hueso obtenido en el bioma volcánico de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino volcánico;Hueso obtenido en el bioma volcánico de las Tierras Destino. Vestigio de un dominador, atraído por fuerzas ignotas.
Hueso de hielo viejo;Hueso obtenido en el bioma ártico de las Tierras Destino. La energía subterránea alteró sus propiedades.
Hueso helado ártico;Hueso obtenido en el bioma ártico de las Tierras Destino. Erosionado, su peso avala su poder.
Hueso de hielo permahelado;Hueso obtenido en el bioma ártico de las Tierras Destino. Su forma rara sugiere un potencial incalculable.
Dracohueso Destino ártico;Hueso obtenido en el bioma ártico de las Tierras Destino. Vestigios de señor, atraído por fuerzas ignotas.
Hueso de dracovena feroz;Hueso obtenido de grandes monstruos de las Tierras Destino. Más fuertes al haber absorbido la energía terrestre.
Hueso de dracovena pesado;Hueso obtenido de grandes monstruos de las Tierras Destino. Más pesado al haber absorbido la energía terrestre.
Hueso sólido de dracovena;Hueso obtenido de grandes monstruos de las Tierras Destino. De gran dureza tras absorber la energía terrestre.
Hueso de dracovena anciano;Hueso obtenido de dragones ancianos de las Tierras Destino. Más imponente al haber absorbido la energía terrestre.
Trafagohueso vena espiritual;Hueso obtenido de monstruos curtidos de las Tierras Destino. Imbuido con el mismo poder que una draconita.
Hueso sólido vena espiritual;Hueso obtenido de monstruos curtidos de las Tierras Destino. Sacia su sed infinita con energía terrestre.
Hueso vena espiritual anciano;Hueso obtenido de monstruos curtidos de las Tierras Destino. Prueba de su estatus como amos de la tierra.
Esquirla de gema vena espiritual;Gema obtenida de monstruos curtidos de las Tierras Destino. Una simple astilla tiene milagroso potencial.
Gema de vena espiritual;Gema obtenida de monstruos curtidos de las Tierras Destino. Forma dada al poder subterráneo puro.
Gran gema de vena espiritual;Gema obtenida de monstruos curtidos de las Tierras Destino. Lleno de poder del amanecer de la creación.
Crin áspera;Material de Gran Jagras muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Pluma colorida;Material de Kulu-Ya-Ku muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Vesícula de veneno aromática;Material de Pukei-Pukei muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Vesícula de veneno curtida;Material muy raro de Pukei-Pukei curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Vesícula hídrica;Material de Pukei-Pukei Coralino muy raro. La energía de las Tierras Destino refuerza a los monstruos que moran allí.
Vesícula torrencial curtida;Mater. Pukei-Pukei Coralino curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Corona de barro;Material de Barroth muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Corona curtida;Material muy raro de Barroth curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Cátodo cegador;Material de Tobi-Kadachi muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cátodo curtido;Material de Tobi-Kadachi curtido muy raro. Producto de las brutales disputas por la supremacía en las Tierras Destino.
Púa vípera tentadora;Material de Tobi-Kadachi Vípero muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Púa vípera curtida;Material muy raro Tobi-Kadachi Vípero curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Gran cuerno ancestral;Material de Banbaro muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Gran cuerno curtido;Material muy raro de Banbaro curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel flamígera brillante;Material de Anjanath muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel flamígera curtida;Material muy raro de Anjanath curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel atronadora chisporroteante;Material de Anjanath Fulgúreo muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel atronadora curtida;Material muy raro Anjanath Fulgúreo curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama de reina;Material de Rathian muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama verde curtida;Material muy raro de Rathian curtida. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama rosada;Material de Rathian Rosa muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama rosada curtida;Material muy raro de Rathian Rosa curtida. Producto de la despiadada lucha de poder de las Tierras Destino.
Fotóforo cegador;Material de Tzitzi-Ya-Ku muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Caparazón de goma;Material de Paolumu muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Caparazón de goma curtido;Material muy raro de Paolumu curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel de obsidiana;Material de Paolumu Somnus muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel curtida;Material muy raro de Paolumu Somnus curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Capucha de medianoche;Material de Gran Girros muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Aceite tintado+;Material de Radobaan muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Aceite curtido+;Material muy raro de Radobaan curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Mandíbula pesada;Material de Dodogama muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Aleta de magma incandescente;Material de Lavasioth muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Aleta de magma curtida;Material de Lavasioth curtido muy raro. Producto de las brutales disputas por la supremacía en las Tierras Destino.
Peto metálico;Material de Uragaan muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Peto curtido;Material muy raro de Uragaan curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Colmillo helado de sangre fría;Material de Barioth muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Colmillo helado curtido;Material muy raro de Barioth curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel plateada siniestra;Material de Yian Garuga muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel de lobo plateado curtida;Material muy raro de Yian Garuga Naevus. Producto de la despiadada lucha de poder de las Tierras Destino.
Pellejo de hielo suave;Material de Legiana muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Pellejo de hielo curtido;Material muy raro de Legiana curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Pellejo congelado de cristal;Material de Legiana Aullador muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Pellejo congelado curtido;Material muy raro de Legiana Aullador curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Garra guadaña mortífera;Material de Odogaron muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Garra guadaña curtida;Material muy raro de Odogaron curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Garra segadora de almas;Material de Odogaron Ébano muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Garra curtida;Material muy raro de Odogaron Ébano curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama de rey;Material de Rathalos muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama roja curtida;Material muy raro de Rathalos curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama celeste;Material de Rathalos Celeste muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama celeste curtida;Material muy raro de Rathalos Celeste curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Corajecorno enroscado;Material de Diablos muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Espiracorno enroscado;Material muy raro de Diablos curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Tiranocorno nudo negro;Material de Diablos Negra muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Espiracorno nudo negro;Material muy raro de Diablos Negra curtida. Producto de la despiadada lucha de poder de las Tierras Destino.
Cuchilla de asesino;Material de Nargacuga muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cuchilla curtida;Material muy raro de Nargacuga curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Punta de cola flameante;Material de Glavenus muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Punta de cola curtida;Material muy raro de Glavenus curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Cola pulida;Material de Glavenus Acídico muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cola curtida;Material muy raro de Glavenus Acídico curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Caparazón de ébano brillante;Material de Brachydios muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Caparazón de ébano curtido;Material muy raro de Brachydios curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Mandíbula de campeón;Material de Tigrex muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Mandíbula curtida;Material muy raro de Tigrex curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Mandíbula negra trémula;Material de Tigrex Pardo muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Mandíbula de ébano curtida;Material muy raro de Tigrex Pardo curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Electrificador letal cargado;Material de Zinogre muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Electrificador curtido;Material muy raro de Zinogre curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama explosiva púrpura;Material de Bazelgeuse Magma muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama explosiva curtida;Material muy raro de Bazelgeuse Magma curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel ébano sanguinolenta;Material raro de Deviljho Salvaje. La energía de las Tierras Destino fortalece a los monstruos.
Piel manchada;Material muy raro Deviljho Salvaje curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Cuerno celeste solemne;Material de Kirin muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cuerno celeste curtido;Material muy raro de Kirin curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Crin de fuego infernal;Material de Teostra muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Crin bermellón curtida;Material muy raro de Teostra curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Ala acerada del clamatormentas;Material de Kushala Daora muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Ala férrea curtida;Material muy raro de Kushala Daora curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Crin celeste;Material de Lunastra muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Crin celeste curtida;Material muy raro de Lunastra curtida. Producto de la despiadada lucha de poder de las Tierras Destino.
Cornacorona de aurora;Material de Velkhana muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cornacorona curtida;Material muy raro de Velkhana curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Colmillo crepuscular;Material de Vaal Hazak Espóreo muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Colmillo crepuscular curtido;Material muy raro Vaal Hazak Espóreo curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel fina encantadora;Material de Namielle muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel de trance curtida;Material muy raro de Namielle curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Gran cuerno de extinción;Material de Nergigante Regio muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Cuerno aniquilador curtido;Material muy raro de Nergigante Regio curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama luz de luna;Material de Rathian Dorada muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama dorada curtida;Material muy raro de Rathian Dorada curtida. Producto de la despiadada lucha de poder de las Tierras Destino.
Escama abrasadora;Material de Rathalos Plateado muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Escama plateada curtida;Material muy raro Rathalos Plateado curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Dracáscara brotante;Material de Zinogre Estigio muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Dracáscara curtida;Material muy raro de Zinogre Estigio curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Piel brillante sangrienta;Material de Rajang muy raro. La energía de las Tierras Destino da fuerza a los monstruos que allí habitan.
Piel brillante curtida;Material muy raro de Rajang curtido. Producto de la despiadada lucha de poder de las Tierras Destino.
Cupón;Canjéalo por una comida especial con efectos más fuertes de lo normal.
Cupón gourmet;El vale definitivo. Te da derecho a una comida gratis con solo los ingredientes más frescos.
Sello de primer wyveriano;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por objetos en el Maxifusionador.
Sello primer wyveriano de lujo;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por objetos en el Maxifusionador.
Sello sublime primer wyveriano;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por útiles objetos en el Maxifusionador.
Sello wyveriano de acero;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por materiales en el Maxifusionador.
Sello wyveriano de plata;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por materiales raros en el Maxifusionador.
Sello wyveriano de oro;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por materiales muy raros en el Maxifusionador.
Sello wyveriano celestial;Billete con la huella de una mano, de los primeros wyverianos. Cámbialo por materiales muy raros en el Maxifusionador.
Vale de fusión acerada;Un vale con una extraña receta para fusión. ¡Llévalo a la Maxifusionadora y verás!
Vale de fusión argéntea;Un vale con una peculiar receta para fusión. ¡Llévalo a la Maxifusionadora y verás!
Vale de fusión áurea;Un vale con una sorprendente receta para fusión. ¡Llévalo a la Maxifusionadora y verás!
